question_number,title,slug,question_type,status,resolution,community_forecast,community_range,my_forecast,my_range,mc_options,coverage,score,question_weight,forecaster_count,comment_count,tournament
41190,[PRACTICE] Will there be a positive transition to a world with radically smarter-than-human artificial intelligence?,agi-transition-beneficial-for-humanity,binary,open,,30%,,25%,,,64.4%,,1.0,,,Tournaments
41191,[PRACTICE] What will be the total domestic box office in the US & Canada during 2025?,total-us-canada-box-office-in-2025,numeric,open,,>8.5B $,8.11B - >8.5B,>8.5B,8.11B - >8.5B,,64.5%,,1.0,,,Tournaments
41192,[PRACTICE] Which Party will win the next Turkish presidential election? (2028),next-turkish-presidential-election-winner-2028,multiple_choice,open,,,,,,AKP: 42.1% | CHP: 41% | Other: 5.4%,64.6%,,1.0,,,Tournaments
41451,Which album will win the Best Traditional Country Album Award at the 2026 Grammys?,best-traditional-country-album-at-2026-grammys,multiple_choice,resolved,Ain't in it for My Health (by Zach Top),,,,,Ain't in it for My Health (by Zach Top): Yes | Oh What a Beautiful World (by Willie Nelson): No | Dollar a Day (by Charley Crockett): No,100.0%,4.193,1.0,,,Tournaments
41454,What will be the maximum intraday value of the VIX over these biweekly periods in Q1 2026? (Jan 19 - Jan 30),vix-biweekly-maximum-in-q1-2026,group,open,,,,,,,100.0%,-197.439,0.8,,,Tournaments
41458,What will be the ending value of the ICE BofA US High Yield Option-Adjusted Spread for these biweekly periods of Q1 2026? (Jan 19 - Jan 30),hy-oas-for-these-biweekly-periods-of-q1-2026,group,open,,,,,,,,,0.8,,,Tournaments
41468,How much will Nvidia's stock price returns exceed Apple's in these biweekly periods of Q1 2026? (Jan 19 - Jan 30),nvda-vs-aapl-in-q1-2026,group,open,,,,,,,100.0%,-65.467,0.8,,,Tournaments
41472,How much will Gold Futures total price returns exceed S&P 500 Futures's in these biweekly periods of Q1 2026? (Jan 19 - Jan 30),gc-vs-es-in-q1-2026,group,open,,,,,,,,,0.8,,,Tournaments
41517,"How many dissenting votes will there be at the January 28, 2026 Federal Open Market Committee meeting?",how-many-dissents-at-jan-28-2026-fomc-meeting,multiple_choice,resolved,2,,,,,2: Yes | 1: No | 0: No,,,,,,Tournaments
41518,"Will Venezuela announce a presidential election before April 1, 2026?",will-venezuela-announce-a-presidential-election-before-april-1-2026,binary,open,,15%,,32.2%,,,89.1%,,1.0,,,Tournaments
41519,Who will win the 2026 Candidates Tournament?,who-will-win-the-2026-candidates-tournament,multiple_choice,open,,,,,,Hikaru Nakamura: 29.2% | Fabiano Caruana: 25.7% | Rameshbabu Praggnanandhaa: 14.8%,75.3%,,1.0,,,Tournaments
41520,Will there be at least one podium sweep at the 2026 Winter Olympic Games?,podium-sweep-at-2026-olympics,binary,open,,70%,,60%,,,88.1%,,1.0,,,Tournaments
41521,"Will the UN General Assembly adopt a resolution condemning the US operation in Venezuela before February 1, 2026?",will-the-unga-condemn-the-us-operation-in-venezuela-before-feb-1-2026,group,resolved,No,,,,,,100.0%,13.039,1.0,,,Tournaments
41537,What will the first reported revenues after December 2025 be for the following companies? (MSFT),jan-mar-2026-revenues-for-these-companies,group,open,,,,,,,100.0%,-4.716,0.7,,,Tournaments
41538,What will the first reported earnings per share after December 2025 be for the following companies? (MSFT),jan-mar-2026-eps-for-these-companies,group,open,,,,,,,100.0%,-9.695,0.7,,,Tournaments
41540,What will Alphabet's Q4 2025 constant-currency revenues be in these global regions? (APAC),alphabets-q4-2025-revenues-in-these-regions,group,open,,,,,,,100.0%,19.099,0.7,,,Tournaments
41567,"Will attacks on Israel cause 5+ casualties or a nationwide shelter order before March 1, 2026?",attacks-causes-5-israeli-casualties-or-shelter-order-by-march-1,binary,open,,35%,,36.5%,,,47.9%,,1.0,,,Tournaments
41568,"Will the United States gain less than 100,000 new nonfarm jobs between December 2025 and February 2026?",us-job-gain-from-dec-2025-to-feb-2026-less-than-100k,binary,open,,60%,,57%,,,92.9%,,1.0,,,Tournaments
41569,"What will be the closing value of the S&P 500 on March 13, 2026?",what-will-be-the-closing-value-of-the-sp-500-on-march-13-2026,numeric,open,,6959,6644 - 7265,6934,6645 - 7223,,35.2%,,1.0,,,Tournaments
41665,What will be the ending value of the ICE BofA US High Yield Option-Adjusted Spread for these biweekly periods of Q1 2026? (Feb 2 - Feb 13),hy-oas-for-these-biweekly-periods-of-q1-2026,numeric,open,,3.37%,2.77 - 4.47,4.19,3.5 - 5.29,,79.2%,,0.7,,,Tournaments
41672,Will the Community beat Nathan Young in the Metaculus Cup Spring 2026?,cp-beats-nathan-young-in-the-spring-2026-cup,binary,open,,60%,,57.9%,,,73.6%,,1.0,,,Tournaments
41690,Will the United States attack Iran before April 2026?,will-the-us-attack-iran-before-april-2026,binary,open,,40%,,42.7%,,,89.9%,,1.0,,,Tournaments
41691,Will Laura Fernández Delgado win the Costa Rican presidential election?,will-laura-fernandez-win-the-costa-rican-presidential-election,binary,open,,75%,,70.6%,,,75.0%,,1.0,,,Tournaments
41692,How many US banks will fail from January through April 2026?,how-many-us-bank-failures-early-2026,multiple_choice,open,,,,,,0: 59% | 1: 26.2% | 2: 10.1%,77.0%,,1.0,,,Tournaments
41746,What will be the reported Q4 2025 global revenue for Mounjaro?,what-will-be-the-reported-q4-2025-global-revenue-for-mounjaro,group,annulled,,,,,,,33.5%,,1.0,,,Tournaments
41747,What will be the reported Q4 2025 global revenue for Zepbound (tirzepatide)?,what-will-be-the-reported-q4-2025-global-revenue-for-zepbound-tirzepatide,group,open,,,,,,,100.0%,17.636,1.0,,,Tournaments
