question_number,title,coverage,score,question_weight,my_forecast,open_date,resolution_date,resolution_value,question_type
42235,"Will the English Wikipedia have at least 7,145,000 articles before March 1, 2026?",100.0%,79.287,0.6,4.8%,2026-02-21,2026-03-09,no,binary
42095,Will any Individual Neutral Athlete (Russian and Belarusian athletes) win any medals at the 2026 Winter Olympics?,100.0%,59.838,1.0,61.5%,2026-02-14,2026-02-19,yes,binary
41835,"Will the US government enter a shutdown before February 1, 2026?",100.0%,40.187,1.0,32.5%,2026-01-23,2026-01-31,yes,binary
41845,What will be the total median number of global under-5 child deaths reported in UNICEF's 2026 report for 2024?,100.0%,35.851,1.0,"[0.00594, 0.0060696456, 0.0061992912, 0.0063289367, 0.0064585823, 0.0065882279, 0.0067178735, 0.006847519, 0.0069771646, 0.0071068102, 0.0072364558, 0.0073661013, 0.0074957469, 0.0076253925, 0.0077550381, 0.0078846837, 0.0080143292, 0.0081439748, 0.0082736204, 0.008403266, 0.0085329115, 0.0086625571, 0.0087922027, 0.0089218483, 0.0090514939, 0.0091811394, 0.009310785, 0.0094404306, 0.0095700762, 0.0096997217, 0.0098293673, 0.0099590129, 0.0100886585, 0.010218304, 0.0103479496, 0.0104775952, 0.0106072408, 0.0107368864, 0.0108665319, 0.0109961775, 0.0111258231, 0.0112554687, 0.0113851142, 0.0115147598, 0.0116444054, 0.011774051, 0.0119036966, 0.0120333421, 0.0121629877, 0.0122926333, 0.0124222789, 0.0125519244, 0.01268157, 0.0128112156, 0.0129408612, 0.0130705067, 0.0132001523, 0.0133297979, 0.0134594435, 0.0135890891, 0.0137187346, 0.0138483802, 0.0139780258, 0.0167652316, 0.0196199861, 0.0224747405, 0.0260608812, 0.0305315214, 0.0353190262, 0.0412454971, 0.0478949439, 0.0553825415, 0.0639259066, 0.073656184, 0.0845751824, 0.0967583648, 0.1101878243, 0.1249368437, 0.1411245033, 0.1587350826, 0.177758965, 0.1982072475, 0.2200486198, 0.2432456043, 0.2677655365, 0.2934728147, 0.3203002411, 0.3481298917, 0.3768124556, 0.4062028639, 0.4361402957, 0.4664534101, 0.4969642959, 0.527491672, 0.5578537192, 0.5878708602, 0.6173687898, 0.6461821095, 0.6741590329, 0.7011678594, 0.7271038256, 0.7518004578, 0.7752522323, 0.7973497967, 0.8180351617, 0.8373166898, 0.8551686888, 0.8715438098, 0.8866105005, 0.9002095287, 0.9125701599, 0.9236931594, 0.9336009591, 0.942350447, 0.9500563989, 0.9569388166, 0.9628652875, 0.9679044173, 0.9723750575, 0.9762404871, 0.9790952415, 0.981949996, 0.9848047504, 0.9853240593, 0.9854375131, 0.9855509669, 0.9856644206, 0.9857778744, 0.9858913282, 0.986004782, 0.9861182357, 0.9862316895, 0.9863451433, 0.9864585971, 0.9865720508, 0.9866855046, 0.9867989584, 0.9869124122, 0.9870258659, 0.9871393197, 0.9872527735, 0.9873662273, 0.987479681, 0.9875931348, 0.9877065886, 0.9878200424, 0.9879334961, 0.9880469499, 0.9881604037, 0.9882738575, 0.9883873112, 0.988500765, 0.9886142188, 0.9887276726, 0.9888411263, 0.9889545801, 0.9890680339, 0.9891814877, 0.9892949414, 0.9894083952, 0.989521849, 0.9896353028, 0.9897487565, 0.9898622103, 0.9899756641, 0.9900891179, 0.9902025716, 0.9903160254, 0.9904294792, 0.990542933, 0.9906563867, 0.9907698405, 0.9908832943, 0.9909967481, 0.9911102018, 0.9912236556, 0.9913371094, 0.9914505632, 0.9915640169, 0.9916774707, 0.9917909245, 0.9919043783, 0.992017832, 0.9921312858, 0.9922447396, 0.9923581934, 0.9924716471, 0.9925851009, 0.9926985547, 0.9928120085, 0.9929254622, 0.993038916, 0.9931523698, 0.9932658236, 0.9933792773, 0.9934927311, 0.9936061849, 0.9937196387, 0.9938330924, 0.9939465462, 0.99406]",2026-02-05,2026-03-18,4.858,numeric
42316,Which film will win Best Picture at the 98th Academy Awards?,100.0%,25.532,1.0,Bugonia: 2.5%; Frankenstein: 1.8%; Sinners: 15.8%; Other: 79.8%,2026-03-02,2026-03-20,Other,multiple_choice
41894,How many Oscars will Sinners win at the 2026 Academy Awards?,100.0%,23.992,1.0,Not Forecast,2026-02-02,2026-03-16,4.0,discrete
41846,"Will there be a successful coup in Africa or Latin America before March 1, 2026?",100.0%,23.159,1.0,13.5%,2026-02-06,2026-03-01,no,binary
42116,Will CDU win the most seats in the Baden-Württemberg Landtag election?,100.0%,22.489,1.0,72.5%,2026-02-19,2026-03-10,no,binary
41871,What will be NVIDIA's forward guidance in their Q4 FY2026 earnings release? (GAAP Operating Expenses),100.0%,21.953,0.7,"[0.01088, 0.0718799877, 0.0740801913, 0.0762803948, 0.0784805984, 0.0807197077, 0.0831339718, 0.0855482359, 0.0879625, 0.0903773483, 0.0929958, 0.0956142518, 0.0982327036, 0.1008816303, 0.1036952023, 0.1065087743, 0.1093223463, 0.1122444136, 0.1152446918, 0.1182449699, 0.1212867849, 0.1244658965, 0.1276450081, 0.1308369451, 0.1341874737, 0.1375380023, 0.1409019056, 0.1444168243, 0.1479317429, 0.1514829203, 0.155155539, 0.1588281577, 0.1625768235, 0.1664007458, 0.170224668, 0.1741770105, 0.1781460983, 0.182165827, 0.1862741711, 0.1903825151, 0.1946149498, 0.1988568449, 0.2031720021, 0.2075419257, 0.2119468294, 0.2164394234, 0.2209392094, 0.2255492643, 0.2301593191, 0.2348699132, 0.239592354, 0.2443985998, 0.2492284744, 0.2541315041, 0.2590639717, 0.2640639094, 0.2690942313, 0.2741903298, 0.2793138608, 0.284504617, 0.2897167974, 0.29500005, 0.3002963986, 0.3056694109, 0.3110535261, 0.3165050497, 0.321976282, 0.3274989394, 0.3330531588, 0.3386427235, 0.34427546, 0.3499277567, 0.3556342401, 0.3613549167, 0.3671203349, 0.3729084987, 0.378724388, 0.384574525, 0.3904384595, 0.3963432899, 0.402261599, 0.4082049603, 0.4141716241, 0.420149797, 0.4261584701, 0.4321764939, 0.4382119911, 0.4442635131, 0.4503229947, 0.4564005635, 0.4624844628, 0.4685773061, 0.4746790722, 0.4807844884, 0.4868964068, 0.4930102989, 0.4991260299, 0.5052417608, 0.5113565003, 0.5174684186, 0.5235755299, 0.5296798206, 0.5357726831, 0.5418599768, 0.5479375456, 0.5540012741, 0.5600578984, 0.5660933956, 0.5721173803, 0.5781260534, 0.5841110497, 0.5900854039, 0.5960287651, 0.6019556367, 0.6078604671, 0.6137338418, 0.6195943032, 0.6254101926, 0.6312095722, 0.6369749903, 0.6427077821, 0.6484186824, 0.6540795852, 0.6597262621, 0.6653158268, 0.6708849145, 0.6764075719, 0.6818946117, 0.6873461354, 0.6927470097, 0.6981231173, 0.7034340948, 0.7087304434, 0.7139482318, 0.7191586878, 0.7242822189, 0.7293990305, 0.7344293524, 0.7394510355, 0.7443835031, 0.7493093313, 0.7541392058, 0.7589690803, 0.7636917666, 0.7684142074, 0.7730373902, 0.777647445, 0.7821733335, 0.7866659275, 0.7910980913, 0.7954680149, 0.7998116229, 0.804053518, 0.8082954131, 0.8124239747, 0.8165323188, 0.8205829933, 0.8245520811, 0.8285211688, 0.8323606048, 0.8361845271, 0.839966816, 0.8436394346, 0.8473120533, 0.8508982751, 0.8544131938, 0.8579281125, 0.8613285469, 0.8646790755, 0.8680296041, 0.8712596338, 0.8744387454, 0.877617857, 0.8806994127, 0.8836996909, 0.886699969, 0.8896635266, 0.8924770986, 0.8952906706, 0.8981042426, 0.9007965294, 0.9034149811, 0.9060334329, 0.9086518847, 0.911112108, 0.9135263721, 0.9159406361, 0.9183549002, 0.9206415786, 0.9228417821, 0.9250419857, 0.9272421893, 0.9294421425, 0.9314173934, 0.9333926442, 0.9353678951, 0.9373431459, 0.9393183968, 0.9426133366, 0.9461066683, 0.9496]",2026-01-26,2026-02-25,7500000000.0,numeric
42507,"Will the Global Polio Eradication Initiative (GPEI) report at least one new wild poliovirus type 1 (WPV1) case with onset in 2026 before May 1, 2026?",100.0%,20.103,1.0,77.5%,2026-03-09,2026-03-18,yes,binary
41540,What will Alphabet's Q4 2025 constant-currency revenues be in these global regions? (APAC),100.0%,19.099,0.7,"[0.0257, 0.0263720518, 0.0270441036, 0.0277161554, 0.0283882072, 0.029060259, 0.0297323108, 0.0304043626, 0.0310764144, 0.0317484662, 0.032420518, 0.0330925698, 0.0337646217, 0.0344366735, 0.0351087253, 0.0357807771, 0.0364528289, 0.0371248807, 0.0377969325, 0.0384689843, 0.0391410361, 0.0398130879, 0.0404851397, 0.0411571915, 0.0418292433, 0.0425012951, 0.0431733469, 0.0438453987, 0.0445174505, 0.0451895023, 0.0458615541, 0.0465336059, 0.0472056577, 0.0478777095, 0.0485497614, 0.0492218132, 0.049893865, 0.0505659168, 0.0512379686, 0.0519100204, 0.0530313104, 0.0552381901, 0.0574450697, 0.0596519494, 0.061858829, 0.0640657087, 0.0662725883, 0.068479468, 0.0706863476, 0.0728932273, 0.0751001069, 0.0773069866, 0.0795138663, 0.0817207459, 0.0839276256, 0.0861345052, 0.0883413849, 0.0905482645, 0.0927551442, 0.0949620238, 0.0971689035, 0.0993757831, 0.1015826628, 0.104119181, 0.1071729394, 0.1102266978, 0.1132804562, 0.1163342146, 0.119387973, 0.1224417314, 0.1254954898, 0.1285492482, 0.1316030066, 0.134656765, 0.1377105234, 0.1407642818, 0.1438180402, 0.1468717986, 0.149925557, 0.1529793154, 0.1573901647, 0.1618827749, 0.166375385, 0.1708679952, 0.1753606053, 0.1798532154, 0.1843458256, 0.1888384357, 0.1933310459, 0.197823656, 0.2023162662, 0.208508195, 0.2150641191, 0.2216200432, 0.2281759673, 0.2347318913, 0.2412878154, 0.2478437395, 0.2547750615, 0.2629595579, 0.2711440542, 0.2793285506, 0.287513047, 0.2956975434, 0.3038487207, 0.3118218091, 0.3197948974, 0.3277679858, 0.3357410741, 0.3437141625, 0.3516872509, 0.358561392, 0.3653434199, 0.3721254478, 0.3789074757, 0.3856895036, 0.3924715316, 0.3992535595, 0.4054999247, 0.4113656736, 0.4172314224, 0.4230971713, 0.4289629202, 0.4348286691, 0.440694418, 0.4465601668, 0.4523963668, 0.4579353538, 0.4634743408, 0.4690133278, 0.4745523148, 0.4800913018, 0.4856302888, 0.4911692759, 0.4967082629, 0.5022705866, 0.5080671811, 0.5138637755, 0.5196603699, 0.5254569643, 0.5312535587, 0.5370501531, 0.5428467475, 0.548643342, 0.5548360092, 0.5614340547, 0.5680321002, 0.5746301456, 0.5812281911, 0.5878262366, 0.594424282, 0.6010223275, 0.6086555124, 0.6163432257, 0.624030939, 0.6317186523, 0.6394063655, 0.6470940788, 0.6550517372, 0.6632994394, 0.6715471417, 0.679794844, 0.6880425462, 0.6962902485, 0.7042441091, 0.7118473871, 0.7194506651, 0.7270539431, 0.7346572211, 0.7422604991, 0.7498637771, 0.7563941063, 0.7628257469, 0.7692573875, 0.7756890281, 0.7821206686, 0.7885523092, 0.7949839498, 0.8012870674, 0.806983503, 0.8126799386, 0.8183763743, 0.8240728099, 0.8297692455, 0.8354656812, 0.8411621168, 0.8468585524, 0.8526813408, 0.8586744277, 0.8646675145, 0.8706606014, 0.8766536883, 0.8826467752, 0.888639862, 0.8946329489, 0.9010264315, 0.910539431, 0.9200524304, 0.9295654299, 0.9390784293, 0.9485914288]",2026-01-14,2026-02-05,18703000000.0,numeric
42044,Will Ofcom publish at least one enforcement decision under the UK Online Safety Act that includes a monetary penalty amount?,100.0%,18.208,1.0,87.0%,2026-02-10,2026-02-23,yes,binary
