run_number	timestamp_utc	timestamp_mountain	question_number	question_url	forecast_submitted	error_count	warning_count	question_title
989	2026-01-30 21:44:58 UTC	2026-01-30 14:44:58 MST	None	None	No	0	1	None
988	2026-01-30 21:03:01 UTC	2026-01-30 14:03:01 MST	None	None	No	0	1	None
987	2026-01-30 20:38:54 UTC	2026-01-30 13:38:54 MST	None	None	No	0	1	None
986	2026-01-30 19:51:38 UTC	2026-01-30 12:51:38 MST	41898	https://www.metaculus.com/questions/41898	Yes	0	0	Will SpaceX conduct 2 or more orbital Starship launch attempts before May 1, 2026?
985	2026-01-30 19:19:52 UTC	2026-01-30 12:19:52 MST	None	None	No	0	0	None
984	2026-01-30 18:21:11 UTC	2026-01-30 11:21:11 MST	None	None	No	0	0	None
983	2026-01-30 17:39:49 UTC	2026-01-30 10:39:49 MST	None	None	No	0	0	None
982	2026-01-30 16:50:15 UTC	2026-01-30 09:50:15 MST	None	None	No	0	1	None
981	2026-01-30 15:48:13 UTC	2026-01-30 08:48:13 MST	None	None	No	0	1	None
980	2026-01-30 14:58:17 UTC	2026-01-30 07:58:17 MST	None	None	No	0	0	None
979	2026-01-30 14:05:40 UTC	2026-01-30 07:05:40 MST	None	None	No	0	0	None
978	2026-01-30 13:16:33 UTC	2026-01-30 06:16:33 MST	None	None	No	0	0	None
977	2026-01-30 11:57:21 UTC	2026-01-30 04:57:21 MST	None	None	No	0	0	None
976	2026-01-30 11:35:29 UTC	2026-01-30 04:35:29 MST	None	None	No	0	0	None
975	2026-01-30 10:43:25 UTC	2026-01-30 03:43:25 MST	None	None	No	0	0	None
974	2026-01-30 09:49:33 UTC	2026-01-30 02:49:33 MST	None	None	No	0	0	None
973	2026-01-30 08:52:44 UTC	2026-01-30 01:52:44 MST	None	None	No	0	0	None
972	2026-01-30 07:55:36 UTC	2026-01-30 00:55:36 MST	None	None	No	0	0	None
971	2026-01-30 07:00:15 UTC	2026-01-30 00:00:15 MST	None	None	No	0	0	None
970	2026-01-30 05:54:03 UTC	2026-01-29 22:54:03 MST	None	None	No	0	0	None
969	2026-01-30 04:46:42 UTC	2026-01-29 21:46:42 MST	None	None	No	0	0	None
968	2026-01-30 02:40:37 UTC	2026-01-29 19:40:37 MST	None	None	No	0	0	None
967	2026-01-29 23:44:43 UTC	2026-01-29 16:44:43 MST	None	None	No	0	0	None
966	2026-01-29 23:01:54 UTC	2026-01-29 16:01:54 MST	None	None	No	0	0	None
965	2026-01-29 22:39:33 UTC	2026-01-29 15:39:33 MST	None	None	No	0	0	None
964	2026-01-29 21:58:01 UTC	2026-01-29 14:58:01 MST	None	None	No	0	0	None
963	2026-01-29 21:35:20 UTC	2026-01-29 14:35:20 MST	None	None	No	0	0	None
962	2026-01-29 20:49:54 UTC	2026-01-29 13:49:54 MST	None	None	No	0	0	None
961	2026-01-29 20:00:06 UTC	2026-01-29 13:00:06 MST	None	None	No	0	0	None
960	2026-01-29 19:37:08 UTC	2026-01-29 12:37:08 MST	None	None	No	0	0	None
959	2026-01-29 18:58:26 UTC	2026-01-29 11:58:26 MST	None	None	No	0	0	None
958	2026-01-29 17:43:46 UTC	2026-01-29 10:43:46 MST	None	None	No	0	0	None
957	2026-01-29 16:54:59 UTC	2026-01-29 09:54:59 MST	None	None	No	0	0	None
956	2026-01-29 15:58:01 UTC	2026-01-29 08:58:01 MST	None	None	No	0	0	None
955	2026-01-29 15:18:49 UTC	2026-01-29 08:18:49 MST	None	None	No	0	0	None
954	2026-01-29 14:24:00 UTC	2026-01-29 07:24:00 MST	None	None	No	0	0	None
953	2026-01-29 13:20:23 UTC	2026-01-29 06:20:23 MST	None	None	No	0	0	None
952	2026-01-29 12:00:00 UTC	2026-01-29 05:00:00 MST	None	None	No	0	0	None
951	2026-01-29 11:37:31 UTC	2026-01-29 04:37:31 MST	None	None	No	0	0	None
950	2026-01-29 10:47:16 UTC	2026-01-29 03:47:16 MST	None	None	No	0	0	None
949	2026-01-29 09:53:16 UTC	2026-01-29 02:53:16 MST	None	None	No	0	0	None
948	2026-01-29 08:52:06 UTC	2026-01-29 01:52:06 MST	None	None	No	0	0	None
947	2026-01-29 07:49:26 UTC	2026-01-29 00:49:26 MST	None	None	No	0	0	None
946	2026-01-29 06:59:09 UTC	2026-01-28 23:59:09 MST	None	None	No	0	0	None
945	2026-01-29 05:51:51 UTC	2026-01-28 22:51:51 MST	None	None	No	0	0	None
944	2026-01-29 04:44:11 UTC	2026-01-28 21:44:11 MST	None	None	No	0	0	None
943	2026-01-29 02:40:23 UTC	2026-01-28 19:40:23 MST	None	None	No	0	0	None
942	2026-01-28 23:44:29 UTC	2026-01-28 16:44:29 MST	None	None	No	0	0	None
941	2026-01-28 23:01:39 UTC	2026-01-28 16:01:39 MST	None	None	No	0	0	None
940	2026-01-28 22:39:44 UTC	2026-01-28 15:39:44 MST	None	None	No	0	0	None
939	2026-01-28 21:59:12 UTC	2026-01-28 14:59:12 MST	None	None	No	0	0	None
